object,color,count_base,count_pattern,p_base,p_pattern,binding_strength,binding_gap,p_obj,p_color,p_joint,pmi,ppmi,npmi,binding_score,category
chair,green,32,0,0.013109381401065138,0.0,0.0,0.013109381401065138,0.004068516416572079,0.011595521798480932,0.0,-5.074376067040501,0.0,-1.0,0.0,never
chair,pink,26,1,0.010651372388365424,0.00040966816878328555,0.038461538461538464,0.010241704219582138,0.004068516416572079,0.007897022032658137,1.6667416700418185e-06,-2.9588935219259382,0.0,-0.22239561061292404,0.0,under
chair,orange,14,1,0.005735354362965997,0.00040966816878328555,0.07142857142857144,0.005325686194182712,0.004068516416572079,0.004475201384062283,1.6667416700418185e-06,-2.3909591441501723,0.0,-0.17970866976913857,0.0,under
chair,purple,4,1,0.0016386726751331422,0.00040966816878328555,0.25,0.0012290045063498567,0.004068516416572079,0.003536825823828739,1.6667416700418185e-06,-2.1556374563811356,0.0,-0.1620214802660184,0.0,under
chair,white,113,11,0.04629250307251127,0.004506349856616141,0.09734513274336283,0.04178615321589513,0.004068516416572079,0.026127842419575546,1.8334158370460003e-05,-1.7575140237283586,0.0,-0.16114010902919002,0.0,under
chair,black,170,2,0.06964358869315854,0.0008193363375665711,0.011764705882352943,0.06882425235559196,0.004068516416572079,0.031599755322322835,3.333483340083637e-06,-3.6524099884493,0.0,-0.2896096489203343,0.0,under
chair,brown,50,2,0.020483408439164276,0.0008193363375665711,0.04,0.019664072101597704,0.004068516416572079,0.006370286662899831,3.333483340083637e-06,-2.05090508144748,0.0,-0.1626219133353953,0.0,under
flower,blue,127,33,0.045405791919914194,0.011798355380765105,0.25984251968503935,0.03360743653914909,0.004661876451106967,0.01797247542806093,5.5002475111380014e-05,-0.4208812974317987,0.0,-0.04291146178301651,0.0,under
flower,yellow,93,20,0.03324991061851984,0.007150518412584912,0.21505376344086022,0.026099392205934928,0.004661876451106967,0.0064769581297825065,3.333483340083637e-05,0.0989338836003988,0.0989338836003988,0.009596931786265778,3.2979445275170315e-06,positive
flower,red,125,28,0.0446907400786557,0.010010725777618877,0.224,0.03468001430103682,0.004661876451106967,0.016022387674112,4.666876676117092e-05,-0.47032987790681885,0.0,-0.04716299057916912,0.0,under
flower,green,74,7,0.026456918126564175,0.0025026814444047193,0.0945945945945946,0.023954236682159458,0.004661876451106967,0.011595521798480932,1.166719169029273e-05,-1.5332562368845348,0.0,-0.13498483246134482,0.0,under
flower,pink,172,48,0.061494458348230245,0.01716124419020379,0.27906976744186046,0.044333214158026456,0.004661876451106967,0.007897022032658137,8.000360016200729e-05,0.7761678661729534,0.7761678661729534,0.08227835814359995,6.209622362389934e-05,positive
flower,orange,40,13,0.014301036825169824,0.004647836968180193,0.325,0.009653199856989631,0.004661876451106967,0.004475201384062283,2.166764171054364e-05,0.03785059050236494,0.03785059050236494,0.0035243650862643717,8.201330335377495e-07,positive
flower,purple,79,25,0.028244547729710405,0.00893814801573114,0.3164556962025316,0.019306399713979266,0.004661876451106967,0.003536825823828739,4.166854175104546e-05,0.9270987456780654,0.9270987456780654,0.09192151786630658,3.8630852791628344e-05,positive
flower,white,204,32,0.07293528780836611,0.01144082946013586,0.1568627450980392,0.06149445834823025,0.004661876451106967,0.026127842419575546,5.333573344133819e-05,-0.8258130165360023,0.0,-0.08393343547061731,0.0,under
flower,black,78,6,0.027887021809081158,0.0021451555237754737,0.07692307692307693,0.025741866285305684,0.004661876451106967,0.031599755322322835,1.0000450020250911e-05,-2.68993732259019,0.0,-0.23364590043398142,0.0,under
flower,brown,14,1,0.0050053628888094386,0.0003575259206292456,0.07142857142857142,0.004647836968180193,0.004661876451106967,0.006370286662899831,1.6667416700418185e-06,-2.880191884816425,0.0,-0.21648025796116172,0.0,under
shoe,blue,28,1,0.04040404040404041,0.001443001443001443,0.03571428571428571,0.03896103896103897,0.0011550519773389802,0.01797247542806093,1.6667416700418185e-06,-2.5221161648862225,0.0,-0.18956666077037607,0.0,under
shoe,yellow,10,0,0.01443001443001443,0.0,0.0,0.01443001443001443,0.0011550519773389802,0.0064769581297825065,0.0,-5.074376067040501,0.0,-1.0,0.0,never
shoe,red,29,1,0.04184704184704185,0.001443001443001443,0.034482758620689655,0.04040404040404041,0.0011550519773389802,0.016022387674112,1.6667416700418185e-06,-2.4072616940699665,0.0,-0.18093399792545573,0.0,under
shoe,green,8,0,0.011544011544011544,0.0,0.0,0.011544011544011544,0.0011550519773389802,0.011595521798480932,0.0,-5.074376067040501,0.0,-1.0,0.0,never
shoe,pink,13,0,0.01875901875901876,0.0,0.0,0.01875901875901876,0.0011550519773389802,0.007897022032658137,0.0,-5.074376067040501,0.0,-1.0,0.0,never
shoe,orange,8,0,0.011544011544011544,0.0,0.0,0.011544011544011544,0.0011550519773389802,0.004475201384062283,0.0,-5.074376067040501,0.0,-1.0,0.0,never
shoe,purple,5,0,0.007215007215007215,0.0,0.0,0.007215007215007215,0.0011550519773389802,0.003536825823828739,0.0,-5.074376067040501,0.0,-1.0,0.0,never
shoe,white,59,0,0.08513708513708514,0.0,0.0,0.08513708513708514,0.0011550519773389802,0.026127842419575546,0.0,-5.074376067040501,0.0,-1.0,0.0,never
shoe,black,100,0,0.1443001443001443,0.0,0.0,0.1443001443001443,0.0011550519773389802,0.031599755322322835,0.0,-5.074376067040501,0.0,-1.0,0.0,never
shoe,brown,19,1,0.027417027417027416,0.001443001443001443,0.052631578947368425,0.025974025974025972,0.0011550519773389802,0.006370286662899831,1.6667416700418185e-06,-1.4849191908043684,0.0,-0.11160912270166258,0.0,under
bag,blue,181,4,0.031973149620208446,0.0007065889418830596,0.022099447513812154,0.03126656067832539,0.009435424594106736,0.01797247542806093,6.666966680167274e-06,-3.2361476386130885,0.0,-0.2715265821959341,0.0,under
bag,yellow,50,2,0.008832361773538244,0.0003532944709415298,0.04,0.008479067302596715,0.009435424594106736,0.0064769581297825065,3.333483340083637e-06,-2.908704350228347,0.0,-0.2306391802526892,0.0,under
bag,red,170,5,0.03003003003003003,0.0008832361773538244,0.029411764705882353,0.029146793852676205,0.009435424594106736,0.016022387674112,8.333708350209092e-06,-2.898149616482623,0.0,-0.24780671692034253,0.0,under
